CollegeName,TotalRegistrations,State
ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,4,Andhra Pradesh
REVA UNIVERSITY,4,Karnataka
VIGNANA BHARATI INSTITUTE OF TECHNOLOGY,4,Telangana
AMRITA SAI INSTITUTE OF SCIENCE AND TECHNOLOGY,4,Andhra Pradesh
VIT AP UNIVERSITY,4,Andhra Pradesh
RGUKT NUZVID,4,Andhra Pradesh
VELAGAPUDI RAMAKRISHNA SIDDARTHA ENGINEERING COLLEGE,4,Andhra Pradesh
KONERU LAKSHMAIAH EDUCATION FOUNDATION,4,Andhra Pradesh
VIGNANA BHARATHI INSTITUTION OF TECHNOLOGY,4,Telangana
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES , BASAR",4,Telangana
ST.ANNS COLLEGE OF ENGINEERING AND TECHNOLOGY,4,Andhra Pradesh
"MAHATMA GANDHI UNIVERSITY, NALGONDA",4,Telangana
IIIT HYDERABAD,4,Telangana
DCET - DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,4,Telangana
ST PETER'S ENGINEERING COLLEGE,4,Telangana
OSMANIA UNIVERSITY,4,Telangana
NREC - NALLA MALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),4,Telangana
VIDYA JYOTHI INSTITUTE OF TECHNOLOGY,4,Telangana
VIGNAN INSTITUTE OF TECHNOLOGY AND SCIENCE,4,Telangana
RISHI UBR WOMENS COLLEGE,4,Odisha
MALLA REDDY COLLEGE OF ENGINEERING,4,Telangana
INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,4,Delhi
BVC ENGINEERING COLLEGE,4,Andhra Pradesh
G PULLA REDDY ENGINEERING COLLEGE,4,Andhra Pradesh
MATRUSRI ENGINEERING COLLEGE,4,Telangana
GAUHATI UNIVERSITY,4,Assam
THE ICFAI FOUNDATION FOR HIGHER EDUCATION,4,Telangana
JANSONS INSTITUTE OF TECHNOLOGY,4,Tamil Nadu
SRI VASAVI ENGINEERING COLLEGE,4,Andhra Pradesh
VIGNAN'S INSTITUTE OF INFORMATION AND TECHNOLOGY,4,Andhra Pradesh
KIET GROUP OF INSTITUTION,4,Uttar Pradesh
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHOPAL,4,Madhya Pradesh
ST.JOSEPH'S COLLEGE OF ENGINEERING,4,Tamil Nadu
ICFAI FOUNDATION FOR HIGHER EDUCATION (IFHE),4,Telangana
TKM COLLEGE OF ENGINEERING,4,Kerala
VEMANA INSTITUTE OF TECHNOLOGY,3,Karnataka
HCL TECH,3,Uttar Pradesh
UNIVERSITY OF EAST LONDON,3,The University of East London is not located in India.
SRI VENKATESWARA UNIVERSITY COLLEGE OF ENGINEERING,3,Andhra Pradesh
YSR ENGINEERING COLLEGE OF YVU,3,Andhra Pradesh
ANNAMACHARYA INST OF TECHNOLOGY AND SCIENCES KADAPA,3,Andhra Pradesh
MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,3,Andhra Pradesh
NATIONAL INSTITUTE OF TECHNOLOGY CALICUT,3,Kerala
PES UNIVERSITY,3,Karnataka
IIT ROORKEE,3,Uttarakhand
"VISHNU INSTITUTE OF TECHNOLOGY, BHIMAVARAM",3,Andhra Pradesh
SRI VENKATESWARA UNIVERSITY,3,Andhra Pradesh
SWARANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
PUDUCHERRY TECHNOLOGICAL UNIVERSITY,3,Puducherry
GIET COLLEGE OF ENGINEERING,3,Andhra Pradesh
DR MGR EDUCATIONAL AND RESEARCH INSTITUTE,3,Tamil Nadu
RMD ENGINEERING COLLEGE,3,Tamil Nadu
NIT WARANGAL,3,Telangana
AMITY UNIVERSITY,3,Uttar Pradesh
"BVC COLLEGE OF ENGINEERING, PALACHARLA",3,Andhra Pradesh
CAPGEMINI,3,Maharashtra
VIGNAN'S INSTITUTE OF ENGINEERING FOR WOMEN,3,Andhra Pradesh
TCS,3,Maharashtra
ILLINOIS INSTITUTE OF TECHNOLOGY,3,"This is a trick question. Illinois Institute of Technology is located in Illinois, which is a state in the **United States of America**, not India."
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY RK VALLEY,3,Andhra Pradesh
SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
SHIV NADAR UNIVERSITY CHENNAI,3,Tamil Nadu
SANTHIRAM ENGINEERING COLLEGE,3,Andhra Pradesh
GITAM BANGALORE,3,Karnataka
IIITDM KANCHEEPURAM,3,Tamil Nadu
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY,3,Andhra Pradesh
MHVR - MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,3,Telangana
SRKREC,3,Andhra Pradesh
MANAV RACHNA UNIVERSITY,3,Haryana
SRMIST,3,Tamil Nadu
"VELLORE INSTITUTE OF TECHNOLOGY,VELLORE",3,Tamil Nadu
MOTK - MOTHER TERESA INSTITUTE OF SCI AND TECHNOLOGY,3,Telangana
JSSATE BANGLORE,3,Karnataka
"NARAYANA ENGINEERING COLLEGE, NELLORE",3,Andhra Pradesh
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR,3,West Bengal
NSRIT,3,Andhra Pradesh
VEL TECH RANGARAJAN DR.SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY,3,Tamil Nadu
RGUKT RK VALLEY,3,Andhra Pradesh
SRM,3,Tamil Nadu
CHADALAWADA RAMANAMMA ENGINEERING COLLEGE,3,Andhra Pradesh
DADI INSTITUTE OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
NBKR INSTITUTE OF SCIENCE AND TECHNOLOGY,3,Andhra Pradesh
RGUKT ONGOLE,3,Andhra Pradesh
GOVERNMENT DEGREE COLLEGE KHAIRATABAD,3,Telangana
COGNIZANT,3,Tamil Nadu
COMPANY,3,Punjab
ST.JOHNS COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
,3,Maharashtra
VARDHMAN COLLEGE OF ENGINEERING,3,Telangana
ST.MARY'S ENGINEERING COLLEGE,3,Telangana
LITTLE FLOWER DEGREE COLLEGE,3,Telangana
DRKC - D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING (AUTONOMOUS),3,Andhra Pradesh
ASHOKA WOMEN'S ENGINEERING COLLEGE,3,Telangana
VIGNANA BHARTHI INSTITUTE OF TECHNOLOGY,3,Telangana
NATIONAL INSTITUTE OF TECHNOLOGY DELHI,3,Delhi
B TECH,3,Kerala
VIGANA BHARATHI INSTITUTE OF TECHNOLOGY,3,Telangana
UNIVERSITY COLLEGE OF SCIENCE (SAIFABAD),3,Telangana
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Odisha
OSMANIA,3,Telangana
RVR & JC COLLEGE OF ENGINEERING,3,Andhra Pradesh
Srinivasa Ramanujan Institute of Technology,3,Andhra Pradesh
ADIKAVI NANNAYYA UNIVERSITY,3,Andhra Pradesh
ACME COLLEGE OF ARTS AND SCIENCE,3,Tamil Nadu
Wesley degree college for women ,3,Telangana
Rishi UBR womens college ,3,Telangana
KPRIT,3,Telangana
Rishi Ubr Womens College,3,Uttar Pradesh
SNIST - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,3,Telangana
R.V.R&J.C COLLEGE OF ENGINEERING,3,Andhra Pradesh
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE,3,Telangana
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES BASAR,3,Telangana
INSTITUTE OF AERONAUTICAL ENGINEERING,3,Telangana
GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,3,Andhra Pradesh
RGUKT SRIKAKULAM,3,Andhra Pradesh
VALLURUPALLI NAGESWARA RAO VIGNANA JYOTHI INSTITUTE OF ENGINEERING &TECHNOLOGY,3,Telangana
NARSIMHA REDDY ENGINEERING COLLEGE,3,Telangana
SIR C.R.REDDY COLLEGE OF ENGINEERING,3,Andhra Pradesh
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM",3,Kerala
RISHI MS INST OF ENGG AND TECH FOR WOMEN,3,Telangana
KAKINADA INSTITUTION OF ENGINEERING AND TECHNOLOGY FOR WOMEN,3,Andhra Pradesh
MALLAREDDY UNIVERSITY,3,Telangana
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES -BASAR,3,Telangana
CHAITHANYA DEEMED TO BE UNIVERSITY,3,Andhra Pradesh
RVR AND JC COLLEGE OF ENGINEERING,3,Andhra Pradesh
NADIMPALLI SATYANARAYANA RAJU INSTITUTE OF TECHNOLOGY,3,Andhra Pradesh
GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY,3,Andhra Pradesh
GITAM UNIVERSITY,3,Andhra Pradesh
VIIT - VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,3,Andhra Pradesh
JNTUK,3,Andhra Pradesh
KUWLSF - KU COLLEGE OF ENGINEERING AND TECHNOLOGY - SELF FINANCE,3,Odisha
