,CollegeName,TotalRegistrations,State
349,VIGNAN INSTITUTE OF TECHNOLOGY AND SCIENCE,5,Telangana
350,RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING,5,Andhra Pradesh
351,NIMS UNIVERSITY,5,Rajasthan
352,ANITS,5,Andhra Pradesh
353,Rishi Ubr Women'S College,5,Uttar Pradesh
354,KLUNIVERSITY,5,Andhra Pradesh
355,RISHI UBR WOMENS COLLEGE,5,West Bengal
356,ALLIANCE UNIVERSITY,5,Karnataka
357,DVR AND DR HS MIC COLLAGE OF TECHNOLOGY,5,Andhra Pradesh
358,MOTK - MOTHER TERESA INSTITUTE OF SCI AND TECHNOLOGY,5,Telangana
359,MGHA - MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,5,Telangana
360,KRISHNA UNIVERSITY,5,Andhra Pradesh
361,R.V.R&J.C COLLEGE OF ENGINEERING,5,Andhra Pradesh
362,UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATMA GANDHI UNIVERSITY,5,Kerala
363,SAMSKRUTI COLLEGE OF ENGINEERING AND TECHNOLOGY,5,Telangana
364,GLA UNIVERSITY MATHURA,5,Uttar Pradesh
365,DMSSVH COLLEGE OF ENGINEERING MACHILIPATNAM AFFLIATED TO JNTUK,5,Andhra Pradesh
366,RVR&JC COLLEGE OF ENGINEERING,5,Andhra Pradesh
367,RAYALASEEMA UNIVERSITY KURNOOL,5,Not Found
368,RVR & JC COLLEGE OF ENGINEERING,5,Andhra Pradesh
369,NARAYANA ENGINEERING COLLEGE GUDUR,5,Andhra Pradesh
370,DADI INSTITUTE OF ENGINEERING AND TECHNOLOGY,5,Andhra Pradesh
371,MATRUSRI ENGINEERING COLLEGE,5,Telangana
372,KAKINADA INSTITUTE OF ENGINEERING & TECHNOLOGY,4,Andhra Pradesh
373,IIIT HYDERABAD,4,Telangana
374,BVC ENGINEERING COLLEGE,4,Andhra Pradesh
375,NIT ANDHRA PRADESH,4,Andhra Pradesh
376,PES UNIVERSITY,4,Karnataka
377,GAYATRI VIDYA PARISAD COLLEGE FOR DEGREE AND PG COURSES,4,Andhra Pradesh
378,GAUHATI UNIVERSITY,4,Assam
379,VVIT,4,Andhra Pradesh
380,IIT GUWAHATI,4,Assam
381,NATIONAL INSTITUTE OF TECHNOLOGY CALICUT,4,Kerala
382,NIT WARANGAL,4,Telangana
383,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY,4,Telangana
384,GNU - GURUNANAK UNIVERSITY,4,Telangana
385,UNIVERSITY OF CENTRAL MISSOURI,4,US
386,DCET - DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,4,Telangana
387,IIT KHARAGPUR,4,West Bengal
388,IIT PATNA,4,Bihar
389,KONERU LAKSHMAIAH EDUCATION FOUNDATION,4,Andhra Pradesh
390,ST PETER'S ENGINEERING COLLEGE,4,Telangana
391,ST.JOSEPH'S COLLEGE OF ENGINEERING,4,Tamil Nadu
392,ST.ANNS COLLEGE OF ENGINEERING AND TECHNOLOGY,4,Andhra Pradesh
393,IIT ROORKEE,4,Uttarakhand
394,RAJIV GANDHI INSTITUTE OF PETROLEUM TECHNOLOGY,4,Uttar Pradesh
395,THE ICFAI FOUNDATION FOR HIGHER EDUCATION,4,Telangana
396,R.V.R. & J.C. COLLEGE OF ENGINEERING,4,Andhra Pradesh
397,SRI VENKATESWARA UNIVERSITY COLLEGE OF ENGINEERING,4,Andhra Pradesh
398,SANTHIRAM ENGINEERING COLLEGE,4,Andhra Pradesh
399,PUDUCHERRY TECHNOLOGICAL UNIVERSITY,4,Puducherry
400,VELLORE INSTITUTE OF TECHNOLOGY CHENNAI,4,Tamil Nadu
401,IIIT SRI CITY,4,Andhra Pradesh
402,CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT,4,Odisha
403,SIDDARTHA INSTITUTE OF SCIENCE AND TECHNOLOGY,4,Andhra Pradesh
404,SRK INSTITUTE OF TECHNOLOGY,4,Andhra Pradesh
405,ANNAMACHARYA UNIVERSITY,4,Andhra Pradesh
406,VIGNAN'S INSTITUTE OF ENGINEERING FOR WOMEN,4,Andhra Pradesh
407,UNIVERSITY OF NEW HAVEN,4,US
408,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,4,Delhi
409,VIIT - VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,4,Andhra Pradesh
410,AMRITA SAI INSTITUTE OF SCIENCE AND TECHNOLOGY,4,Andhra Pradesh
411,ST. JOSEPH'S COLLEGE OF ENGINEERING,4,Tamil Nadu
412,SRMIST,4,Tamil Nadu
413,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHOPAL,4,Madhya Pradesh
414,MALLA REDDY COLLEGE OF ENGINEERING,4,Telangana
415,"MAHATMA GANDHI UNIVERSITY, NALGONDA",4,Telangana
416,CHTN - SREE CHAITANYA COLLEGE OF ENGINEERING,4,Andhra Pradesh
417,DR BR AMBEDKAR UNIVERSITY,4,Delhi
418,KKR&KSR INSTITUTE OF TECHNOLOGY AND SCIENCES,4,Andhra Pradesh
419,KIET GROUP OF INSTITUTION,4,Uttar Pradesh
420,TKM COLLEGE OF ENGINEERING,4,Kerala
421,KPRIT,4,Telangana
422,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY,4,Andhra Pradesh
423,VISHWA VISHWANI INSTITUTE OF SYSTEMS AND MANAGEMENT,4,Telangana
424,GUDLAVALLERU ENGINEERING COLLEGE,4,Andhra Pradesh
425,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES , BASAR",4,Telangana
426,VIGNAN'S NIRULA INSTITUTE OF TECHNOLOGY AND SCIENCE FOR WOMEN,4,Andhra Pradesh
427,VIGNANA BHARATHI INSTITUTION OF TECHNOLOGY,4,Telangana
428,VIGNANA BHARATI INSTITUTE OF TECHNOLOGY,4,Telangana
429,UNIVERSITY OF BRIDGEPORT,4,US
430,DRKC - D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,4,Andhra Pradesh
431,"VISHNU INSTITUTE OF TECHNOLOGY, BHIMAVARAM",4,Andhra Pradesh
432,RGUKT RK VALLEY,4,Andhra Pradesh
433,OSMANIA UNIVERSITY,4,Telangana
434,JANSONS INSTITUTE OF TECHNOLOGY,4,Tamil Nadu
435,ACCENTURE,4,Karnataka
436,BABA INSTITUTE OF TECHNOLOGY AND SCIENCES,4,Andhra Pradesh
437,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI, MANIPUR",4,Manipur
438,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,4,Andhra Pradesh
439,AKIT - ABDULKALAM INST OF TECHNOLOGY AND SCI,4,Bihar
440,AVINASH COLLEGE OF COMMERCE,4,Telangana
441,NONE,4,-
442,SMIC - ST MARYS INTEGRATED CAMPUS,4,Karnataka
443,SREE RAMA ENGINEERING COLLEGE,4,Andhra Pradesh
444,SR INTERNATIONAL INSTITUTE OF TECHNOLOGY,4,Andhra Pradesh
445,IIITDM KANCHEEPURAM,4,Tamil Nadu
446,VEL TECH RANGARAJAN DR.SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY,4,Tamil Nadu
447,VEL TECH RANGARAJAN DR. SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY,4,Tamil Nadu
448,NREC - NALLA MALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),4,Telangana
449,NSRIT,3,Andhra Pradesh
450,JSSATE BANGLORE,3,Karnataka
451,JNTUK,3,Andhra Pradesh
452,CAPGEMINI,3,Maharashtra
453,BSKR - BHASKAR ENGINEERING COLLEGE,3,Telangana
454,ANDHRA LOYOLA COLLEGE,3,Andhra Pradesh
455,AMITY UNIVERSITY,3,Uttar Pradesh
456,GITAM BANGALORE,3,Karnataka
457,GAYATRI VIDYA PARISHAD,3,Andhra Pradesh
458,OSMANIA,3,Telangana
459,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING(AUTONOMOUS),3,Andhra Pradesh
460,VNRVJIET,3,Telangana
461,RVR AND JC COLLEGE OF ENGINEERING,3,Andhra Pradesh
462,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES -BASAR,3,Telangana
463,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES BASAR,3,Telangana
464,RAVINDRA COLLEGE OF ENGINEERING FOR WOMEN,3,Andhra Pradesh
465,TCS,3,Maharashtra
466,TEEGALA KRISHNA REDDY ENGINEERING COLLEGE,3,Telangana
467,SYMBIOSIS INSTITUTE OF TECHNOLOGY,3,Maharashtra
468,Srinivasa Ramanujan Institute of Technology,3,Andhra Pradesh
469,SWARANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
470,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY KOTTAYAM,3,Kerala
471,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM",3,Kerala
472,AKSHAYA WOMEN'S DEGREE COLLEGE,3,Tamil Nadu
473,RGUKT ONGOLE,3,Andhra Pradesh
474,RGUKT-BASAR,3,Telangana
475,DR BC ROY ENGINEERING COLLEGE,3,West Bengal
476,DR MGR EDUCATIONAL AND RESEARCH INSTITUTE,3,Tamil Nadu
477,SWARNA BHARATHI INSTITUTE OF SCIENCE AND TECHNOLOGY,3,Andhra Pradesh
478,B TECH,3,-
479,KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY,3,Odisha
480,INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR,3,West Bengal
481,HCL TECH,3,Uttar Pradesh
482,ILLINOIS INSTITUTE OF TECHNOLOGY,3,US
483,Rishi UBR womens college,3,West Bengal
484,Rishi Ubr Womens College,3,West Bengal
485,DNR COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Telangana
486,RMD ENGINEERING COLLEGE,3,Tamil Nadu
487,RISHI MS INST OF ENGG AND TECH FOR WOMEN,3,Telangana
488,SVHU - SATAVAHANA UNIVERSITY,3,Telangana
489,ST.MARY'S ENGINEERING COLLEGE,3,Telangana
490,DVR & DR. HS MIC COLLEGE OF TECHNOLOGY,3,Andhra Pradesh
491,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY RK VALLEY,3,Andhra Pradesh
492,VIGNANA BHARTHI INSTITUTE OF TECHNOLOGY,3,Telangana
493,UNIVERSITY COLLEGE OF SCIENCE (SAIFABAD),3,Telangana
494,UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Odisha
495,Rishi ubr women's degree college,3,Uttar Pradesh
496,Rishi ubr womens college,3,West Bengal
497,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, MANIPUR",3,Manipur
498,ST.JOHNS COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
499,ST.MARTINS ENGINEERING COLLEGE,3,Telangana
500,KLRT - KLRCOLLEGE OF ENGG AND TECHNOLOGY PALONCHA,3,Telangana
501,SATYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,3,Andhra Pradesh
502,SAVEETHA ENGINEERING COLLEGE,3,Tamil Nadu
503,COGNIZANT,3,Tamil Nadu
504,COMPANY,3,Punjab
505,MIC COLLEGE OF TECHNOLOGY,3,Andhra Pradesh
506,KAKINADA INSTITUTION OF ENGINEERING AND TECHNOLOGY FOR WOMENS,3,Andhra Pradesh
507,TRR COLLEGE OF TECHNOLOGY,3,Telangana
508,GURU GOBIND SINGH INDRAPRASTHA UNIVERSITY,3,Delhi
509,"NARAYANA ENGINEERING COLLEGE, NELLORE",3,Andhra Pradesh
510,N.B.K.R INSTITUTE OF SCIENCE AND TECHNOLOGY,3,Andhra Pradesh
511,NA,3,Arunachal Pradesh
512,NADIMPALLI SATYANARAYANA RAJU INSTITUTE OF TECHNOLOGY,3,Andhra Pradesh
513,ESWAR COLLEGE OF ENGINEERING,3,Andhra Pradesh
514,SRI VENKATESWARA UNIVERSITY,3,Andhra Pradesh
515,"BVC COLLEGE OF ENGINEERING, PALACHARLA",3,Andhra Pradesh
516,MALLA REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Telangana
517,MALLAREDDY UNIVERSITY,3,Telangana
518,MANAV RACHNA UNIVERSITY,3,Haryana
519,"ICFAI UNIVERSITY, HYDERABAD",3,Telangana
520,CHAITHANYA DEEMED TO BE UNIVERSITY,3,Andhra Pradesh
521,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY,3,Telangana
522,ALPHORES WOMEN'S DEGREE AND PG COLLEGE,3,Telangana
523,VIGNAN’S INSTITUTE OF INFORMATION TECHNOLOGY,3,Andhra Pradesh
524,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,3,Andhra Pradesh
525,VIGNAN'S INSTITUTION OF INFORMATION TECHNOLOGY,3,Not Found
526,ASHOKA WOMEN'S ENGINEERING COLLEGE,3,Telangana
527,VALLURUPALLI NAGESWARA RAO VIGNANA JYOTHI INSTITUTE OF ENGINEERING &TECHNOLOGY,3,Telangana
528,VARDHMAN COLLEGE OF ENGINEERING,3,Telangana
529,KALLAM HARANADHA REDDY INSTITUTE OF TECHNOLOGY,3,Andhra Pradesh
530,MADANAPALLE INSTITUTE OF TECHNOLOGY & SCIENCE,3,Andhra Pradesh
531,CHADALAWADA RAMANAMMA ENGINEERING COLLEGE,3,Andhra Pradesh
532,SIR PADAMPAT SINGHANIA UNIVERSITY,3,Rajasthan
533,SIR C.R.REDDY COLLEGE OF ENGINEERING,3,Andhra Pradesh
534,SASTRA DEEMED TO BE UNIVERSITY,3,Tamil Nadu
535,CHENNAI INSTITUTE OF TECHNOLOGY,3,Tamil Nadu
536,SHIV NADAR UNIVERSITY CHENNAI,3,Tamil Nadu
537,SRKREC,3,Andhra Pradesh
538,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
539,KAKINADA INSTITUTION OF ENGINEERING AND TECHNOLOGY FOR WOMEN,3,Andhra Pradesh
540,UNIVERSITY OF EAST LONDON,3,ENGLAND
541,AMRITA VISHWA VIDYAPEETHAM CHENNAI,3,Tamil Nadu
542,GOVERNMENT DEGREE COLLEGE KHAIRATABAD,3,Telangana
543,NARSIMHA REDDY ENGINEERING COLLEGE,3,Telangana
544,"VELLORE INSTITUTE OF TECHNOLOGY, AMARAVATI",3,Andhra Pradesh
545,ANNAMACHARYA INST OF TECHNOLOGY AND SCIENCES KADAPA,3,Andhra Pradesh
546,KAKINADA INSTITUTIONS OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
547,VIGANA BHARATHI INSTITUTE OF TECHNOLOGY,3,Telangana
548,"VELLORE INSTITUTE OF TECHNOLOGY,VELLORE",3,Tamil Nadu
549,VEMANA INSTITUTE OF TECHNOLOGY,3,Karnataka
550,IIIT BHOPAL,3,Madhya Pradesh
551,SNIST,3,Telangana
552,SNIST - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,3,Telangana
553,LITTLE FLOWER DEGREE COLLEGE,3,Telangana
554,MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING (AUTONOMOUS),3,Andhra Pradesh
555,KAKINADA INSTITUTIONS OF ENGINEERING AND TECHNOLOGY FOR WOMEN,3,Andhra Pradesh
556,INSTITUTE OF AERONAUTICAL ENGINEERING,3,Telangana
557,KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLGY,3,Andhra Pradesh
558,NATIONAL INSTITUTE OF TECHNOLOGY DELHI,3,Delhi
559,G.PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
560,"GLA UNIVERSITY, MATHURA",3,Uttar Pradesh
561,GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY,3,Andhra Pradesh
562,GIET COLLEGE OF ENGINEERING,3,Andhra Pradesh
563,ACME COLLEGE OF ARTS AND SCIENCE,3,Tamil Nadu
564,VSB ENGINEERING COLLEGE,3,Tamil Nadu
565,YSR ENGINEERING COLLEGE OF YVU,3,Andhra Pradesh
566,Wesley degree college for women,3,Telangana
567,JNTU KAKINADA,3,Andhra Pradesh
568,ISLC - ISL ENGINEERING COLLEGE,3,Telangana
569,ADIKAVI NANNAYYA UNIVERSITY,3,Andhra Pradesh
570,VITS - SRI VISHWESWARAYA INST OF TECHNOLOGY AND SCI,3,Telangana
571,"ACHARYA INSTITUTE OF TECHNOLOGY , BANGALORE",2,Karnataka
572,"VELLORE INSTITUTE OF TECHNOLOGY, CHENNAI",2,Tamil Nadu
573,"VELLORE INSTITUTE OF TECHNOLOGY, AP",2,Andhra Pradesh
574,VELLORE INSTITUTE OF TECHNOLOGY VELLORE,2,Tamil Nadu
575,ATAL BIHARI VAJPAYEE INDIAN INSTITUTE OF INFORMATION TECHNOLOGY AND MANAGEMENT GWALIOR,2,Madhya Pradesh
576,UNIVERSITY OF DELHI,2,Delhi
577,UNIVERSITY OF TEXAS AT DALLAS,2,US
578,VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY (VVIT),2,Andhra Pradesh
579,VASIREDDY VENKATADHRI INSTITUTE OF TECHNOLOGY,2,Andhra Pradesh
580,KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMAN,2,Andhra Pradesh
581,KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY -II,2,Andhra Pradesh
582,KAKINADA INSTITUTE OF ENGINEERING & TECHNOLOGY FOR WOMEN,2,Andhra Pradesh
583,KAKINADA INSTITUTE OF TECHNOLOGICAL SCIENCES,2,Andhra Pradesh
584,KAKINADA INSTITUTE OF ENGINEERING TECHNOLOGY FOR WOMENS,2,Andhra Pradesh
585,"KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,KAKINADA",2,Andhra Pradesh
586,INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY BHUBANESWAR,2,Odisha
587,KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY WOMEN,2,Not Found
588,NIMS UNIVERSITY JAIPUR RAJASTHAN,2,Rajasthan
589,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING (AUTONOMOUS),2,Andhra Pradesh
590,OUCESF - O U COLLEGE OF ENGG HYDERABAD - SELF FINANCE,2,Telangana
591,OSMANIA COLLEGE,2,Telangana
592,GATES INSTITUTE OF TECHNOLOGY,2,Andhra Pradesh
593,NIAT,2,Tamil Nadu
594,NIT DURGAPUR,2,West Bengal
595,GLOB - GLOBAL INST OF ENGINEERING AND TECHNOLOGY,2,Not Found
596,GITAM VISAKHAPATNAM,2,Andhra Pradesh
597,GITAM UNIVERSITY HYDERABAD,2,Telangana
598,NORTHERN ILLINOIS UNIVERSITY,2,US
599,NORTHEASTERN UNIVERSITY,2,US
600,NO,2,Nagaland
601,NITTE MEENAKSHI INSTITUTE OF TECHNOLOGY,2,Not Found
602,GIOE,2,Goa
603,"NRI INSTITUTE OF TECHNOLOGY, VIJAYAWADA",2,Andhra Pradesh
604,"AMRITA SCHOOL OF ENGINEERING, BENGALURU",2,Karnataka
605,AMITY UNIVERSITY MUMBAI,2,Maharashtra
606,GARDEN CITY UNIVERSITY,2,Karnataka
607,GANDHIJI INSTITUTE OF SCIENCE AND TECHNOLOGY,2,Odisha
608,PACE INSTITUTE OF TECHNOLOGY AND SCIENCE,2,Andhra Pradesh
609,OUCTSF - O U COLLEGE OF TECH HYDERABAD - SELF FINANCE,2,Telangana
610,PBR VITS,2,Andhra Pradesh
611,PARUL INSTITUTE OF ENGINEERING AND TECHNOLOGY,2,Gujarat
612,PANIMALAR ENGINEERING COLLEGE,2,Tamil Nadu
613,GALGOTIAS UNIVERSITY,2,Uttar Pradesh
614,G. NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE,2,Telangana
615,NATIONAL INSTITUTE OF TECHNOLOGY DURGAPUR,2,West Bengal
616,"NATIONAL INSTITUTE OF TECHNOLOGY , DURGAPUR",2,West Bengal
617,NATIONAL COLLEGE OF IRELAND,2,-
618,GITAM DEEMED TO BE UNIVERSITY,2,Andhra Pradesh
619,GODAVARI INSTITUTION OF ENGINEERING TECHNOLOGY,2,Telangana
620,PSCMR COLLEGE OF ENGINEERING AND TECHNOLOGY,2,Andhra Pradesh
621,PRIYADARSHI COLLEGE OF DEGREE AND PG,2,Telangana
622,PRIST UNIVERSITY,2,Tamil Nadu
623,PRESIDENCY UNIVERSITY BANGALORE,2,Karnataka
624,PVP SIDDHARTHA INSTITUTE OF TECHNOLOGY,2,Andhra Pradesh
625,PVP SIDDHARTH INSTITUTE OF TECHNOLOGY,2,Andhra Pradesh
626,ETHIRAJ COLLEGE FOR WOMEN,2,Tamil Nadu
627,NARASARAOPET ENGINEERING COLLEGE,2,Andhra Pradesh
628,NARASIMHAREDDY ENGINEERING COLLEGE,2,Telangana
629,NATIONAL INSTITUTE OF TECHNOLOGY SILCHAR,2,Assam
630,NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA SURATHKAL,2,Karnataka
631,NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA,2,Karnataka
632,VIGNAN INSTITUE OF TECHNOLOGY AND SCIENCE,2,Telangana
633,VIGNAN UNIVERSITY,2,Andhra Pradesh
634,VIGNAN INSTITUTE OF INFORMATION AND TECHNOLOGY,2,Andhra Pradesh
635,AMRITA UNIVERSITY,2,Kerala
636,R.M.K ENGINEERING COLLEGE,2,Tamil Nadu
637,R.M.D ENGINEERING COLLEGE,2,Tamil Nadu
638,R. V. R & J. C COLLEGE OF ENGINEERING,2,Andhra Pradesh
639,RAJEEV GANDHI MEMORIAL ENGINEERING COLLEGE,2,Andhra Pradesh
640,EAST WEST INSTITUTE OF TECHNOLOGY,2,Karnataka
641,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES-BASAR,2,Telangana
642,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES,BASAR",2,Telangana
643,VIGNAN'S LARA INSTITUTE OF TECHNOLOGY AND SCIENCES,2,Andhra Pradesh
644,VIGNAN'S LARA INSTITUTE OF TECHNOLOGY AND SCIENCE,2,Andhra Pradesh
645,VIGNAN'S LARA INSTITUTE OF TECHNOLOGY & SCIENCE,2,Andhra Pradesh
646,VIIT-VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,2,Andhra Pradesh
647,"VIIT,PUNE",2,Maharashtra
648,ALPHORES WOMEN'S DEGREE COLLEGE KARIMNAGAR,2,Telangana
649,PRATHYUSHA ENGINEERING COLLEGE,2,Tamil Nadu
650,PRAKASAM ENGINEERING COLLEGE,2,Andhra Pradesh
651,PRAGATHI DEGREE COLLEGE,2,Andhra Pradesh
652,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES -ONGOLE,2,Andhra Pradesh
653,DR. M.G.R. EDUCATIONAL AND RESEARCH INSTITUTE,2,Tamil Nadu
654,RGM COLLEGE OF ENGINEERING AND TECHNOLOGY,2,Andhra Pradesh
655,RGM COLLEGE,2,Andhra Pradesh
656,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES - BASAR,2,Telangana
657,DVR&DR.HS MIC COLLEGE OF TECHNOLOGY,2,Andhra Pradesh
658,DR.MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,2,Tamil Nadu
659,DR.M.G.R EDUCATIONAL AND RESEARCH INSTITUTE,2,Tamil Nadu
660,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, ONGOLE",2,Andhra Pradesh
661,MNRT - MNRCOLLEGE OF ENGINEERING AND TECHNOLOGY,2,Telangana
662,Gauhati University,2,Assam
663,MVGR COLLEGE,2,Andhra Pradesh
664,MVGR - MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING (AUTONOMOUS),2,Andhra Pradesh
665,MUTHAYAMMAL ENGINEERING COLLEGE,2,Tamil Nadu
666,MVJ COLLEGE OF ENGINEERING,2,Karnataka
667,MVGRCE,2,Andhra Pradesh
668,Rishi UBR Women's College,2,Uttar Pradesh
669,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT,2,Karnataka
670,DARE - DARIPALLY ANANTHA RAMULU COLLOF ENGGAND TECH,2,Telangana
671,Rishi women’s degree college,2,Uttar Pradesh
672,Rishi ubr women’s college,2,Uttar Pradesh
673,VIT VELLORE,2,Tamil Nadu
674,MIT ADT,2,Maharashtra
675,RISHI M.S INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,2,Telangana
676,RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS,2,Andhra Pradesh
677,D.N.R COLLEGE OF ENGINEERING AND TECHNOLOGY,2,Andhra Pradesh
678,DNR COLLAGE OF ENGINEERING AND TECHNOLOGY,2,Telangana
679,RAYALSEEMA UNIVERSITY COLLEGE OF ENGINEERING,2,Andhra Pradesh
680,RGUKT IIIT BASAR,2,Telangana
681,RGMCET - RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,2,Andhra Pradesh
682,DR. B.C ROY ENGINEERING COLLEGE,2,West Bengal
683,DR LANKAPALLI BULLAYYA COLLEGE OF ENGINEERING,2,Andhra Pradesh
684,Rishi ubr women's degree College,2,Uttar Pradesh
685,Rishi uber women's college,2,Andhra Pradesh
686,SACRED HEART UNIVERSITY,2,Kerala
687,SAI RAJESWARI INSTITUTE OF TECHNOLOGY,2,Telangana
688,SANSKRITHI SCHOOL OF ENGINEERING,2,Andhra Pradesh
689,SANA ENGINEERING COLLEGE,2,Andhra Pradesh
690,SAINT LOUIS UNIVERSITY,2,US
691,SATAVAHANA UNIVERSITY,2,Telangana
692,ICFAI BUSINESS SCHOOL,2,Telangana
693,"MAULANA AZAD NATIONAL INSTITUTE OF TECHNOLOGY, BHOPAL",2,Madhya Pradesh
694,"MGU, UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY",2,Kerala
695,HYDERABAD INSTITUTE OF TECHNOLOGY AND MANAGEMENT,2,Telangana
696,RVR & JC,2,Andhra Pradesh
697,RV UNIVERSITY,2,Karnataka
698,Rishi Ubr Women'S,2,Karnataka
699,Rishi UBR women's degree college,2,Uttar Pradesh
700,SCET - SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,2,Telangana
701,SHRI MATA VAISHNO DEVI UNIVERSITY,2,Jammu and Kashmir
702,CENTRAL UNIVERSITY OF KARNATAKA,2,Karnataka
703,CMR UNIVERSITY,2,Karnataka
704,SBIT,2,Telangana
705,SAVEETHA UNIVERSITY,2,Tamil Nadu
706,CMR COLLEGE OF ENGINEERING AND TECHNOLOGY,2,Telangana
707,ICFAI UNIVERSITY DONTHANPALLY HYDERABAD,2,Telangana
708,ICFAI TECH UNIVERSITY,2,Himachal Pradesh
709,"MANIPAL INSTITUTE OF TECHNOLOGY, MANIPAL",2,Karnataka
710,MANIPAL INSTITUTE OF TECHNOLOGY BANGALORE,2,Karnataka
711,MALLAREDDY ENGINEERING COLLEGE FOR WOMEN,2,Telangana
712,MALLAREDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,2,Telangana
713,ICFAI TECH HYDERABAD,2,Telangana
714,ICFAI FOUNDATION OF HIGHER EDUCATION,2,Telangana
715,ICFAI FOUNDATION FOR HIGHER EDUCATION HYDERABAD,2,Telangana
716,VELLORE INSTITUTION OF TECHNOLOGY,2,Tamil Nadu
717,VELLORE INSTITUTE OF TECHNOLOGY-AP,2,Andhra Pradesh
718,"VELLORE INSTITUTE OF TECHNOLOGY,CHENNAI",2,Tamil Nadu
