CollegeName,TotalRegistrations,State
DAYANANDA SAGAR COLLEGE OF ENGINEERING COLLEGE,1,Karnataka
VELLORE INSTITUTE OF TECHNOLOGY- AP,1,Andhra Pradesh
SRMAP,1,Andhra Pradesh
"MAYNOOTH UNIVERSITY, IRELAND",1,"This is a trick question. Maynooth University is located in Ireland, not India. Therefore, no Indian state applies."
ST MARY'S GROUP OF INSTITUTIONS GUNTUR,1,Andhra Pradesh
RAVINDRA COLLEGE OF ENGINEERING FOR WOMEN,1,Andhra Pradesh
SRI KAALAHASTISWARA INSTITUTE OF INFORMATION AND MANAGEMENT SCIENCES,1,Andhra Pradesh
AEROSTAR ENGINEERING,1,Kerala
PSCMR,1,Andhra Pradesh
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN,1,"This is a trick question! The University of Illinois Urbana Champaign is located in **Illinois**, which is a state in the United States, not India.

Therefore, the answer is:

Not applicable."
GOVERNMENT COLLEGE AUTONOMOUS RAJAHMUNDRY,1,Andhra Pradesh
ANGLIA RUSKIN UNIVERSITY,1,Gujarat
QUEEN MARY UNIVERSITY OF LONDON ( GRADUATE ),1,"This query is unanswerable. Queen Mary University of London is located in London, England and not in India."
VIGNANS INSTITUTE OF INFORMATION TECHNOLOGY (A),1,Andhra Pradesh
KENT STATE UNIVERSITY,1,Ohio
RAJIV GANDHI UNIVERSITY KF KNOWLEDGR AND TECHNOLOGY,1,Andhra Pradesh
MALINENI LAKSHMAIAH WOMEN'S ENGINEERING COLLGE,1,Andhra Pradesh
VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING,1,Andhra Pradesh
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY BASAR,1,Telangana
CHAITANYA INSTITUTE OF TECHNOLOGY AND SCIENCE,1,Andhra Pradesh
SATHYABAMA,1,Tamil Nadu
PALAR AGRICULTURAL COLLEGE,1,Tamil Nadu
VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLAGE,1,Andhra Pradesh
SIR C R REDDY ENGINEERING COLLEGE OF ENGINEERING,1,Andhra Pradesh
EADA BUSINESS SCHOOL,1,There is no campus of EADA Business School located in India.
UNH,1,Himachal Pradesh
R.V.R & J.C. COLLEGE OF ENGINEERING,1,Andhra Pradesh
TELANGANA MAHILA UNIVERSITY,1,Telangana
SIR C.R.REDDY COLLEGE OF ENGINEERING ELURU,1,Andhra Pradesh
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR,1,Bihar
THE ICFAI UNIVERSITY RAIPUR,1,Chhattisgarh
SRI VENKATESHWARA COLLEGE OF ENGINEERING,1,Andhra Pradesh
NAGARJUNA UNIVERSITY UNIVERSITY CAMPUS GUNTUR,1,Andhra Pradesh
ROBERT MORRIS UNIVERSITY,1,Pennsylvania
GIET UNIVERSITY,1,Odisha
ASRITHAKROTHA@GMAIL.COM,1,I cannot determine the Indian state based solely on the email address provided. Email addresses do not inherently contain location information.
NATIONAL INSTITUTE OF TECHNOLOGY MEGHALAYA,1,Meghalaya
C R RAO AIMSCS,1,Telangana
JEPPIAAR INSTITUTE OF TECHNOLOGY,1,Tamil Nadu
RMK COLLEGE OF ENGINEERING AND TECHNOLOGY,1,Tamil Nadu
GEORGE MASON UNIVERSITY,1,Virginia
DIABSOLUT,1,Goa
VELLORE INSTITUTE OF TECHNOLOGY AMARAVATI,1,Andhra Pradesh
WUST,1,West Bengal
VIGNANA JYOTHI INSTUTITE OF ARTS AND SCIENCE,1,Telangana
SRU UNVERISY,1,Haryana
IIIT VADODARA INTERNATIONAL CAMPUS DIU,1,"Daman and Diu is a Union Territory, not a state."
GURUKUL KANGRI UNIVERSITY,1,Uttarakhand
NBKR INSTITUTE OF SCIENCE AND TECHNOLOY,1,Andhra Pradesh
SUVEGA TECHNOLOGIES PVT LTD,1,Telangana
"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY",1,Maryland
UNIVERSITY OF FINDLAY,1,Ohio
KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,1,Andhra Pradesh
COMMUNITY DREAMS FOUNDATION,1,Tamil Nadu
SRI CHAITANYA INSTITUTE OF TECHNOLOGY SCIENCES,1,Telangana
VELLORE INSITUTE OF TECHNOLOGY,1,Tamil Nadu
SRI KRISHNA DEVARAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,1,Andhra Pradesh
CARNEGIE MELLON UNIVERSITY AFRICA,1,There is no Carnegie Mellon University Africa located in any Indian state.
UNIVERSITY OF MISSOURI,1,Missouri
POTTI SRIRAMULU CHALVADI MALLIKARJUNA RAO COLLEGE OF ENGINEERING AND TECHNOLOGY,1,Andhra Pradesh
SS&C,1,Telangana
SIVA SIVANI INSTITUTE OF MANAGEMENT,1,Telangana
INSTAGRAM,1,Instagram is not located in any Indian state. It is a social media platform headquartered in the United States.
"UNIVERSITY OF BEDFORDSHIRE, UNITED KINGDOM",1,"The University of Bedfordshire is in the United Kingdom, not India. Therefore, no Indian state is applicable."
NAPIER HEALTH CARE,1,Tamil Nadu
NATIONAL INSTITUTE OF TECHNOLOGY SURATHKAL,1,Karnataka
OLD BRIDGE HIGH SCHOOL,1,New Jersey
SRKR BHIMAVARAM,1,Andhra Pradesh
PONNAIYAH RAMAJAYAM INSTITUTE OF SCIENCE AND TECHNOLOGY,1,Tamil Nadu
LAKIREDDYBALIREDDY COLLEGE OF ENGINEERING,1,Andhra Pradesh
ESWAR COLLEGE OF ENGINEERING,1,Andhra Pradesh
IIIT SRIKAKULAM,1,Andhra Pradesh
VASIREDDY VENKTADRI INSTITUTE OF TECHNOLOGY,1,Andhra Pradesh
INKPROG TECHNOLOGIES,1,Telangana
MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY,1,"This is a trick question! The MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY is located in Missouri, USA, not in India. Since the question asks for an Indian state, and the university is not in India, the answer is:

None"
IVY (ENTAIN PLC),1,Goa
VIGANA DEGREE COLLEGE,1,Andhra Pradesh
MASTERJI DEGREE AND PG COLLEGE,1,Telangana
P.S.V COLLEGE OF ENGINEERING AND TECHNOLOGY,1,Tamil Nadu
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN(KAKATIYA UNIVERSITY),1,Telangana
"UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATMA GANDHI UNIVERSITY, NALGONDA",1,Telangana
VIGNAN DEGREE AND PG COLLEGE,1,Andhra Pradesh
"B.V.RAJU COLLEGE, BHIMAVARAM",1,Andhra Pradesh
LENDI INSTITUE OF ENGINEERING AND TECHNOLOGY,1,Andhra Pradesh
ASPIRING ENTREPRENEUR,1,Telangana
VIGNANA INSTITUTE OF INFORMATION TECHNOLOGY,1,Telangana
ACT FIBERNET,1,Telangana
VIGNAN INSTITUTE OF MANAGEMENT AND TECHNOLOGY FOR WOMEN,1,Telangana
VIGNAN INSTIUTE OF INFORMATION TECHNOLOGY,1,Andhra Pradesh
AIAT,1,Tamil Nadu
LITTLE FLOWERS DEGREE COLLEGE,1,Telangana
SANA ENGINEERING COLLEGE,1,Andhra Pradesh
SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY & MANAGEMENT (SMVITM),1,Karnataka
FERGUSON CENTRE FOR HIGHER LEARNING,1,Maharashtra
H MEDIA NETWORKS INDIA PVT LTD,1,Kerala
MOTHER THERESA DEGREE COLLEGE,1,Karnataka
"UNIVERSITY COLLEGE OF SCIENCE, SAIFABAD",1,Telangana
GENPACT PVT LTD,1,Haryana
FLORIDA ATLANTIC UNIVERSITY,1,Florida
S J C INSTITUTE OF TECHNOLOGY,1,Karnataka
ST JOSEPH'S DEGREE AND PG COLLEGE,1,Telangana
MURRAY STATE UNIVERSITY,1,Kentucky
BRADLEY UNIVERSITY,1,Illinois
HUMANA,1,Karnataka
CHICAGO STATE UNIVERSITY,1,"This is a trick question! Chicago State University is located in **Illinois**, which is a state in the **United States**, not India."
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,RK VALLEY",1,Andhra Pradesh
"SAHYADRI COLLEGE OF ENGINEERING AND MANAGEMENT, MANGALORE",1,Karnataka
MADANAPALLI INSTITUTE OF TECHNOLOGY AND SCIENCE,1,Andhra Pradesh
EXPERIAN,1,Maharashtra
SRI VENKATESWARA UNIVERSITY TIRUPATI,1,Andhra Pradesh
SAILS SOFTWARE SOLUTIONS,1,Tamil Nadu
VIKAS GROUP OF INSTITUTIONS,1,Andhra Pradesh
